Code,Description1,Description2,Last_Updated
E0983002004,"motorized wheelchair, joystick control",,09-09-2025
E0984001003,"Manual wheelchair accessory, power add-on to convert manual wheelchair to       Add pwr tiller              3",Add pwr tiller              36      A,09-09-2025
E0984002004,"motorized wheelchair, tiller control",,09-09-2025
E0985001003,"Wheelchair accessory, seat lift mechanism                                       W/c seat lift mechanism     3",W/c seat lift mechanism     36      A,09-09-2025
E0986001003,"Manual wheelchair accessory, power assist system                                Man w/c powr assist syst    3",Man w/c powr assist syst    36      A,09-09-2025
E0988001003,"Manual wheelchair accessory, lever-activated, wheel drive, pair                 Lever-activated wheel drive 3",Lever-activated wheel drive 36      A,09-09-2025
E0990001003,"Wheelchair accessory, elevating leg rest, complete assembly, each               Wheelchair elevating leg res0",Wheelchair elevating leg res00      960-9,09-09-2025
E0992001003,"Manual wheelchair accessory, solid seat insert                                  Wheelchair solid seat insert3",Wheelchair solid seat insert32      A,09-09-2025
E0994001003,"Arm rest, each                                                                  Wheelchair arm rest         3",Wheelchair arm rest         32      A60-9,09-09-2025
E0995001003,"Wheelchair accessory, calf rest/pad, replacement only, each                     Wc calf rest, pad replacemnt0","Wc calf rest, pad replacemnt00      960-9",09-09-2025
E1002001003,"Wheelchair accessory, power seating system, tilt only                           Pwr seat tilt               3",Pwr seat tilt               36      A,09-09-2025
E1003001003,"Wheelchair accessory, power seating system, recline only, without shear         Pwr seat recline            3",Pwr seat recline            36      A,09-09-2025
E1003002004,reduction,,09-09-2025
E1004001003,"Wheelchair accessory, power seating system, recline only, with mechanical shear Pwr seat recline mech       3",Pwr seat recline mech       36      A,09-09-2025
E1004002004,reduction,,09-09-2025
E1005001003,"Wheelchair accessory, power seating system, recline only, with power shear      Pwr seat recline pwr        3",Pwr seat recline pwr        36      A,09-09-2025
E1005002004,reduction,,09-09-2025
E1006001003,"Wheelchair accessory, power seating system, combination tilt and recline,       Pwr seat combo w/o shear    3",Pwr seat combo w/o shear    36      A,09-09-2025
E1006002004,without shear reduction,,09-09-2025
E1007001003,"Wheelchair accessory, power seating system, combination tilt and recline, with  Pwr seat combo w/shear      3",Pwr seat combo w/shear      36      A,09-09-2025
E1007002004,mechanical shear reduction,,09-09-2025
E1008001003,"Wheelchair accessory, power seating system, combination tilt and recline, with  Pwr seat combo pwr shear    3",Pwr seat combo pwr shear    36      A,09-09-2025
E1008002004,power shear reduction,,09-09-2025
E1009001003,"Wheelchair accessory, addition to power seating system, mechanically linked leg Add mech leg elevation      3",Add mech leg elevation      32      A,09-09-2025
E1009002004,"elevation system, including pushrod and leg rest, each",,09-09-2025
E1010001003,"Wheelchair accessory, addition to power seating system, power leg elevation     Add pwr leg elevation       3",Add pwr leg elevation       36      A,09-09-2025
E1010002004,"system, including leg rest, pair",,09-09-2025
E1011001003,"Modification to pediatric size wheelchair, width adjustment package (not to be  Ped wc modify width adjustm 3",Ped wc modify width adjustm 32      A60-9,09-09-2025
E1011002004,dispensed with initial chair),,09-09-2025
E1012001003,"Wheelchair accessory, addition to power seating system, center mount power      Ctr mount pwr elev leg rest 3",Ctr mount pwr elev leg rest 36      A,09-09-2025
E1012002004,"elevating leg rest/platform, complete system, any type, each",,09-09-2025
E1014001003,"Reclining back, addition to pediatric size wheelchair                           Reclining back add ped w/c  3",Reclining back add ped w/c  36      A60-9,09-09-2025
E1015001003,"Shock absorber for manual wheelchair, each                                      Shock absorber for man w/c  3",Shock absorber for man w/c  32      A                  60.9,09-09-2025
E1016001003,"Shock absorber for power wheelchair, each                                       Shock absorber for power w/c3",Shock absorber for power w/c32      A                  60.9,09-09-2025
E1017001003,"Heavy duty shock absorber for heavy duty or extra heavy duty manual wheelchair, Hd shck absrbr for hd man wc3",Hd shck absrbr for hd man wc32      A                  60.9,09-09-2025
E1017002004,each,,09-09-2025
E1018001003,"Heavy duty shock absorber for heavy duty or extra heavy duty power wheelchair,  Hd shck absrber for hd powwc3",Hd shck absrber for hd powwc32      A                  60.9,09-09-2025
E1018002004,each,,09-09-2025
E1020001003,"Residual limb support system for wheelchair, any type                           Residual limb support system3",Residual limb support system36      A                  60-6,09-09-2025
E1022001003,"Wheelchair transportation securement system, any type includes all components   Wheelchr transport secur    0",Wheelchr transport secur    00      9                                          1861(n),09-09-2025
E1022002004,and accessories,,09-09-2025
E1023001003,"Wheelchair transit securement system, includes all components and accessories   Wheelchr transit securement 0",Wheelchr transit securement 00      9                                          1861(n),09-09-2025
E1028001003,"Wheelchair accessory, manual swingaway, retractable or removable mounting       W/c manual swingaway        3",W/c manual swingaway        36      A,09-09-2025
E1028002004,"hardware, other",,09-09-2025
E1029001003,"Wheelchair accessory, ventilator tray, fixed                                    W/c vent tray fixed         3",W/c vent tray fixed         36      A,09-09-2025
E1030001003,"Wheelchair accessory, ventilator tray, gimbaled                                 W/c vent tray gimbaled      3",W/c vent tray gimbaled      36      A,09-09-2025
E1031001003,"Rollabout chair, any and all types with casters 5"" or greater                   Rollabout chair with casters3",Rollabout chair with casters36      A60-9,09-09-2025
E1032001003,"Wheelchair accessory, manual swingaway, retractable or removable mounting       Wheelchair joystick drive   3",Wheelchair joystick drive   36      A,09-09-2025
E1032002004,hardware used with joystick or other drive control interface,,09-09-2025
E1033001003,"Wheelchair accessory, manual swingaway, retractable or removable mounting       Wheelchair hardware headrest3",Wheelchair hardware headrest36      A,09-09-2025
E1033002004,"hardware for headrest, cushioned, any type",,09-09-2025
E1034001003,"Wheelchair accessory, manual swingaway, retractable or removable mounting       Wheelchair trunk hip support3",Wheelchair trunk hip support36      A,09-09-2025
E1034002004,"hardware for lateral trunk or hip support, any type",,09-09-2025
E1035001003,"Multi-positional patient transfer system, with integrated seat, operated by     Patient transfer system <3003",Patient transfer system <30036      A                  2100,09-09-2025
E1035002004,"care giver, patient weight capacity up to and including 300 lbs",,09-09-2025
E1036001003,"Multi-positional patient transfer system, extra-wide, with integrated seat,     Patient transfer system >3003",Patient transfer system >30036      A,09-09-2025
E1036002004,"operated by caregiver, patient weight capacity greater than 300 lbs",,09-09-2025
E1037001003,"Transport chair, pediatric size                                                 Transport chair, ped size   3","Transport chair, ped size   36      A60-9",09-09-2025
E1038001003,"Transport chair, adult size, patient weight capacity up to and including 300    Transport chair pt wt<=300lb3",Transport chair pt wt<=300lb36      A60-9,09-09-2025
E1038002004,pounds,,09-09-2025
E1039001003,"Transport chair, adult size, heavy duty, patient weight capacity greater than   Transport chair pt wt >300lb3",Transport chair pt wt >300lb36      A,09-09-2025
E1039002004,300 pounds,,09-09-2025
E1050001003,"Fully-reclining wheelchair, fixed full length arms, swing away detachable       Whelchr fxd full length arms3",Whelchr fxd full length arms36      A60-9,09-09-2025
E1050002004,elevating leg rests,,09-09-2025
E1060001003,"Fully-reclining wheelchair, detachable arms, desk or full length, swing away    Wheelchair detachable arms  3",Wheelchair detachable arms  36      A60-9,09-09-2025
E1060002004,detachable elevating legrests,,09-09-2025
E1070001003,"Fully-reclining wheelchair, detachable arms (desk or full length) swing away    Wheelchair detachable foot r3",Wheelchair detachable foot r36      A60-9,09-09-2025
E1070002004,detachable footrest,,09-09-2025
E1083001003,"Hemi-wheelchair, fixed full length arms, swing away detachable elevating leg    Hemi-wheelchair fixed arms  3",Hemi-wheelchair fixed arms  36      A60-9,09-09-2025
E1083002004,rest,,09-09-2025
E1084001003,"Hemi-wheelchair, detachable arms desk or full length arms, swing away           Hemi-wheelchair detachable a3",Hemi-wheelchair detachable a36      A60-9,09-09-2025
E1084002004,detachable elevating leg rests,,09-09-2025
E1085001003,"Hemi-wheelchair, fixed full length arms, swing away detachable foot rests       Hemi-wheelchair fixed arms  0",Hemi-wheelchair fixed arms  00      960-9,09-09-2025
E1086001003,"Hemi-wheelchair detachable arms desk or full length, swing away detachable      Hemi-wheelchair detachable a0",Hemi-wheelchair detachable a00      960-9,09-09-2025
E1086002004,footrests,,09-09-2025
E1087001003,"High strength lightweight wheelchair, fixed full length arms, swing away        Wheelchair lightwt fixed arm3",Wheelchair lightwt fixed arm36      A60-9,09-09-2025
E1087002004,detachable elevating leg rests,,09-09-2025
E1088001003,"High strength lightweight wheelchair, detachable arms desk or full length,      Wheelchair lightweight det a3",Wheelchair lightweight det a36      A60-9,09-09-2025
E1088002004,swing away detachable elevating leg rests,,09-09-2025
E1089001003,"High strength lightweight wheelchair, fixed length arms, swing away detachable  Wheelchair lightwt fixed arm0",Wheelchair lightwt fixed arm00      960-9,09-09-2025
E1089002004,footrest,,09-09-2025
E1090001003,"High strength lightweight wheelchair, detachable arms desk or full length,      Wheelchair lightweight det a0",Wheelchair lightweight det a00      960-9,09-09-2025
E1090002004,swing away detachable foot rests,,09-09-2025
E1092001003,"Wide heavy duty wheel chair, detachable arms (desk or full length), swing away  Wheelchair wide w/ leg rests3",Wheelchair wide w/ leg rests36      A60-9,09-09-2025
E1092002004,detachable elevating leg rests,,09-09-2025
E1093001003,"Wide heavy duty wheelchair, detachable arms desk or full length arms, swing     Wheelchair wide w/ foot rest3",Wheelchair wide w/ foot rest36      A60-9,09-09-2025
E1093002004,away detachable footrests,,09-09-2025
E1100001003,"Semi-reclining wheelchair, fixed full length arms, swing away detachable        Whchr s-recl fxd arm leg res3",Whchr s-recl fxd arm leg res36      A60-9,09-09-2025
E1100002004,elevating leg rests,,09-09-2025
E1110001003,"Semi-reclining wheelchair, detachable arms (desk or full length) elevating leg  Wheelchair semi-recl detach 3",Wheelchair semi-recl detach 36      A60-9,09-09-2025
E1110002004,rest,,09-09-2025
E1130001003,"Standard wheelchair, fixed full length arms, fixed or swing away detachable     Whlchr stand fxd arm ft rest0",Whlchr stand fxd arm ft rest00      960-9,09-09-2025
E1130002004,footrests,,09-09-2025
E1140001003,"Wheelchair, detachable arms, desk or full length, swing away detachable         Wheelchair standard detach a0",Wheelchair standard detach a00      960-9,09-09-2025
E1140002004,footrests,,09-09-2025
E1150001003,"Wheelchair, detachable arms, desk or full length swing away detachable          Wheelchair standard w/ leg r3",Wheelchair standard w/ leg r36      A60-9,09-09-2025
E1150002004,elevating legrests,,09-09-2025
E1160001003,"Wheelchair, fixed full length arms, swing away detachable elevating legrests    Wheelchair fixed arms       3",Wheelchair fixed arms       36      A60-9,09-09-2025
E1161001003,"Manual adult size wheelchair, includes tilt in space                            Manual adult wc w tiltinspac3",Manual adult wc w tiltinspac36      A,09-09-2025
E1170001003,"Amputee wheelchair, fixed full length arms, swing away detachable elevating     Whlchr ampu fxd arm leg rest3",Whlchr ampu fxd arm leg rest36      A60-9,09-09-2025
E1170002004,legrests,,09-09-2025
E1171001003,"Amputee wheelchair, fixed full length arms, without footrests or legrest        Wheelchair amputee w/o leg r3",Wheelchair amputee w/o leg r36      A60-9,09-09-2025
E1172001003,"Amputee wheelchair, detachable arms (desk or full length) without footrests or  Wheelchair amputee detach ar3",Wheelchair amputee detach ar36      A60-9,09-09-2025
E1172002004,legrest,,09-09-2025
E1180001003,"Amputee wheelchair, detachable arms (desk or full length) swing away detachable Wheelchair amputee w/ foot r3",Wheelchair amputee w/ foot r36      A60-9,09-09-2025
E1180002004,footrests,,09-09-2025
E1190001003,"Amputee wheelchair, detachable arms (desk or full length) swing away detachable Wheelchair amputee w/ leg re3",Wheelchair amputee w/ leg re36      A60-9,09-09-2025
E1190002004,elevating legrests,,09-09-2025
E1195001003,"Heavy duty wheelchair, fixed full length arms, swing away detachable elevating  Wheelchair amputee heavy dut3",Wheelchair amputee heavy dut36      A60-9,09-09-2025
E1195002004,legrests,,09-09-2025
E1200001003,"Amputee wheelchair, fixed full length arms, swing away detachable footrest      Wheelchair amputee fixed arm3",Wheelchair amputee fixed arm36      A60-9,09-09-2025
E1220001003,"Wheelchair; specially sized or constructed, (indicate brand name, model number, Whlchr special size/constrc 4",Whlchr special size/constrc 45      A60-6,09-09-2025
E1220002004,if any) and justification,,09-09-2025
E1221001003,"Wheelchair with fixed arm, footrests                                            Wheelchair spec size w foot 3",Wheelchair spec size w foot 36      A60-6,09-09-2025
E1222001003,"Wheelchair with fixed arm, elevating legrests                                   Wheelchair spec size w/ leg 3",Wheelchair spec size w/ leg 36      A60-6,09-09-2025
E1223001003,"Wheelchair with detachable arms, footrests                                      Wheelchair spec size w foot 3",Wheelchair spec size w foot 36      A60-6,09-09-2025
E1224001003,"Wheelchair with detachable arms, elevating legrests                             Wheelchair spec size w/ leg 3",Wheelchair spec size w/ leg 36      A60-6,09-09-2025
E1225001003,"Wheelchair accessory, manual semi-reclining back, (recline greater than 15      Manual semi-reclining back  3",Manual semi-reclining back  36      A60-6,09-09-2025
E1225002004,"degrees, but less than 80 degrees), each",,09-09-2025
E1226001003,"Wheelchair accessory, manual fully reclining back, (recline greater than 80     Manual fully reclining back 0",Manual fully reclining back 00      960-9,09-09-2025
E1226002004,"degrees), each",,09-09-2025
E1227001003,Special height arms for wheelchair                                              Wheelchair spec sz spec ht a3,Wheelchair spec sz spec ht a32      A60-6,09-09-2025
E1228001003,Special back height for wheelchair                                              Wheelchair spec sz spec ht b3,Wheelchair spec sz spec ht b36      A60-6,09-09-2025
E1229001003,"Wheelchair, pediatric size, not otherwise specified                             Pediatric wheelchair nos    3",Pediatric wheelchair nos    32      A,09-09-2025
E1230001003,Power operated vehicle (three or four wheel nonhighway) specify brand name and  Power operated vehicle      3,Power operated vehicle      32      A60-5              4107.6,09-09-2025
E1230002004,model number,,09-09-2025
E1231001003,"Wheelchair, pediatric size, tilt-in-space, rigid, adjustable, with seating      Rigid ped w/c tilt-in-space 3",Rigid ped w/c tilt-in-space 32      A60-9,09-09-2025
E1231002004,system,,09-09-2025
E1232001003,"Wheelchair, pediatric size, tilt-in-space, folding, adjustable, with seating    Folding ped wc tilt-in-space3",Folding ped wc tilt-in-space36      A60-9,09-09-2025
E1232002004,system,,09-09-2025
E1233001003,"Wheelchair, pediatric size, tilt-in-space, rigid, adjustable, without seating   Rig ped wc tltnspc w/o seat 3",Rig ped wc tltnspc w/o seat 36      A60-9,09-09-2025
E1233002004,system,,09-09-2025
E1234001003,"Wheelchair, pediatric size, tilt-in-space, folding, adjustable, without seating Fld ped wc tltnspc w/o seat 3",Fld ped wc tltnspc w/o seat 36      A60-9,09-09-2025
E1234002004,system,,09-09-2025
E1235001003,"Wheelchair, pediatric size, rigid, adjustable, with seating system              Rigid ped wc adjustable     3",Rigid ped wc adjustable     36      A60-9,09-09-2025
E1236001003,"Wheelchair, pediatric size, folding, adjustable, with seating system            Folding ped wc adjustable   3",Folding ped wc adjustable   36      A60-9,09-09-2025
E1237001003,"Wheelchair, pediatric size, rigid, adjustable, without seating system           Rgd ped wc adjstabl w/o seat3",Rgd ped wc adjstabl w/o seat36      A60-9,09-09-2025
E1238001003,"Wheelchair, pediatric size, folding, adjustable, without seating system         Fld ped wc adjstabl w/o seat3",Fld ped wc adjstabl w/o seat36      A60-9,09-09-2025
E1239001003,"Power wheelchair, pediatric size, not otherwise specified                       Ped power wheelchair nos    3",Ped power wheelchair nos    36      A,09-09-2025
E1240001003,"Lightweight wheelchair, detachable arms, (desk or full length) swing away       Whchr litwt det arm leg rest3",Whchr litwt det arm leg rest36      A60-9,09-09-2025
E1240002004,"detachable, elevating legrest",,09-09-2025
E1250001003,"Lightweight wheelchair, fixed full length arms, swing away detachable footrest  Wheelchair lightwt fixed arm0",Wheelchair lightwt fixed arm00      960-9,09-09-2025
E1260001003,"Lightweight wheelchair, detachable arms (desk or full length) swing away        Wheelchair lightwt foot rest0",Wheelchair lightwt foot rest00      960-9,09-09-2025
E1260002004,detachable footrest,,09-09-2025
E1270001003,"Lightweight wheelchair, fixed full length arms, swing away detachable elevating Wheelchair lightweight leg r3",Wheelchair lightweight leg r36      A60-9,09-09-2025
E1270002004,legrests,,09-09-2025
E1280001003,"Heavy duty wheelchair, detachable arms (desk or full length) elevating legrests Whchr h-duty det arm leg res3",Whchr h-duty det arm leg res36      A60-9,09-09-2025
E1285001003,"Heavy duty wheelchair, fixed full length arms, swing away detachable footrest   Wheelchair heavy duty fixed 0",Wheelchair heavy duty fixed 00      960-9,09-09-2025
E1290001003,"Heavy duty wheelchair, detachable arms (desk or full length) swing away         Wheelchair hvy duty detach a0",Wheelchair hvy duty detach a00      960-9,09-09-2025
E1290002004,detachable footrest,,09-09-2025
E1295001003,"Heavy duty wheelchair, fixed full length arms, elevating legrest                Wheelchair heavy duty fixed 3",Wheelchair heavy duty fixed 36      A60-9,09-09-2025
E1296001003,Special wheelchair seat height from floor                                       Wheelchair special seat heig3,Wheelchair special seat heig32      A60-6,09-09-2025
E1297001003,"Special wheelchair seat depth, by upholstery                                    Wheelchair special seat dept3",Wheelchair special seat dept32      A60-6,09-09-2025
E1298001003,"Special wheelchair seat depth and/or width, by construction                     Wheelchair spec seat depth/w3",Wheelchair spec seat depth/w32      A60-6,09-09-2025
E1300001003,"Whirlpool, portable (overtub type)                                              Whirlpool portable          0",Whirlpool portable          00      960-9,09-09-2025
E1301001003,"Whirlpool tub, walk-in, portable                                                Whirlpool tub walkin portabl0",Whirlpool tub walkin portabl00      9280.1,09-09-2025
E1310001003,"Whirlpool, non-portable (built-in type)                                         Whirlpool non-portable      3",Whirlpool non-portable      32      A60-9,09-09-2025
E1352001003,"Oxygen accessory, flow regulator capable of positive inspiratory pressure       O2 flow reg pos inspir press0",O2 flow reg pos inspir press00      9,09-09-2025
E1353001003,Regulator                                                                       Oxygen supplies regulator   0,Oxygen supplies regulator   00      960-4              4107.9,09-09-2025
E1354001003,"Oxygen accessory, wheeled cart for portable cylinder or portable concentrator,  Wheeled cart, port cyl/conc 0","Wheeled cart, port cyl/conc 00      9",09-09-2025
E1354002004,"any type, replacement only, each",,09-09-2025
E1355001003,Stand/rack                                                                      Oxygen supplies stand/rack  0,Oxygen supplies stand/rack  00      960-4,09-09-2025
E1356001003,"Oxygen accessory, battery pack/cartridge for portable concentrator, any type,   Batt pack/cart, port conc   0","Batt pack/cart, port conc   00      9",09-09-2025
E1356002004,"replacement only, each",,09-09-2025
E1357001003,"Oxygen accessory, battery charger for portable concentrator, any type,          Battery charger, port conc  0","Battery charger, port conc  00      9",09-09-2025
E1357002004,"replacement only, each",,09-09-2025
E1358001003,"Oxygen accessory, dc power adapter for portable concentrator, any type,         Dc power adapter, port conc 0","Dc power adapter, port conc 00      9",09-09-2025
E1358002004,"replacement only, each",,09-09-2025
E1372001003,Immersion external heater for nebulizer                                         Oxy suppl heater for nebuliz3,Oxy suppl heater for nebuliz32      A60-4,09-09-2025
E1390001003,"Oxygen concentrator, single delivery port, capable of delivering 85 percent or  Oxygen concentrator         3",Oxygen concentrator         33      A60-4,09-09-2025
E1390002004,greater oxygen concentration at the prescribed flow rate,,09-09-2025
E1391001003,"Oxygen concentrator, dual delivery port, capable of delivering 85 percent or    Oxygen concentrator, dual   3","Oxygen concentrator, dual   33      A60-4",09-09-2025
E1391002004,"greater oxygen concentration at the prescribed flow rate, each",,09-09-2025
E1392001003,"Portable oxygen concentrator, rental                                            Portable oxygen concentrator3",Portable oxygen concentrator33      A60-4,09-09-2025
E1399001003,"Durable medical equipment, miscellaneous                                        Durable medical equipment mi4",Durable medical equipment mi46      A,09-09-2025
E1405001003,Oxygen and water vapor enriching system with heated delivery                    O2/water vapor enrich w/heat3,O2/water vapor enrich w/heat33      A60-4              4107,09-09-2025
E1406001003,Oxygen and water vapor enriching system without heated delivery                 O2/water vapor enrich w/o he3,O2/water vapor enrich w/o he33      A60-4              4107,09-09-2025
E1500001003,"Centrifuge, for dialysis                                                        Centrifuge                  0",Centrifuge                  00      9,09-09-2025
E1510001003,"Kidney, dialysate delivery syst kidney machine, pump recirculating, air removal Kidney dialysate delivry sys0",Kidney dialysate delivry sys00      9,09-09-2025
E1510002004,"syst, flowrate meter, power off, heater and temperature control with alarm,",,09-09-2025
E1510003004,"i.v. poles, pressure gauge, concentrate container",,09-09-2025
E1520001003,Heparin infusion pump for hemodialysis                                          Heparin infusion pump       0,Heparin infusion pump       00      9,09-09-2025
E1530001003,"Air bubble detector for hemodialysis, each, replacement                         Replacement air bubble detec0",Replacement air bubble detec00      9,09-09-2025
E1540001003,"Pressure alarm for hemodialysis, each, replacement                              Replacement pressure alarm  0",Replacement pressure alarm  00      9,09-09-2025
E1550001003,"Bath conductivity meter for hemodialysis, each                                  Bath conductivity meter     0",Bath conductivity meter     00      9,09-09-2025
E1560001003,"Blood leak detector for hemodialysis, each, replacement                         Replace blood leak detector 0",Replace blood leak detector 00      9,09-09-2025
E1570001003,"Adjustable chair, for esrd patients                                             Adjustable chair for esrd pt0",Adjustable chair for esrd pt00      9,09-09-2025
E1575001003,"Transducer protectors/fluid barriers, for hemodialysis, any size, per 10        Transducer protect/fld bar  0",Transducer protect/fld bar  00      9,09-09-2025
E1580001003,Unipuncture control system for hemodialysis                                     Unipuncture control system  0,Unipuncture control system  00      9,09-09-2025
E1590001003,Hemodialysis machine                                                            Hemodialysis machine        0,Hemodialysis machine        00      9,09-09-2025
E1592001003,Automatic intermittent peritoneal dialysis system                               Auto interm peritoneal dialy0,Auto interm peritoneal dialy00      9,09-09-2025
E1594001003,Cycler dialysis machine for peritoneal dialysis                                 Cycler dialysis machine     0,Cycler dialysis machine     00      9,09-09-2025
E1600001003,Delivery and/or installation charges for hemodialysis equipment                 Deli/install chrg hemo equip0,Deli/install chrg hemo equip00      9,09-09-2025
E1610001003,"Reverse osmosis water purification system, for hemodialysis                     Reverse osmosis h2o puri sys0",Reverse osmosis h2o puri sys00      955-1A,09-09-2025
E1615001003,"Deionizer water purification system, for hemodialysis                           Deionizer h2o puri system   0",Deionizer h2o puri system   00      955-1A,09-09-2025
E1620001003,"Blood pump for hemodialysis, replacement                                        Replacement blood pump      0",Replacement blood pump      00      9,09-09-2025
E1625001003,"Water softening system, for hemodialysis                                        Water softening system      0",Water softening system      00      955-1B,09-09-2025
E1629001003,Tablo hemodialysis system for the billable dialysis service                     Tablo for dialysis service  0,Tablo for dialysis service  00      9,09-09-2025
E1630001003,Reciprocating peritoneal dialysis system                                        Reciprocating peritoneal dia0,Reciprocating peritoneal dia00      9,09-09-2025
E1632001003,"Wearable artificial kidney, each                                                Wearable artificial kidney  0",Wearable artificial kidney  00      9,09-09-2025
E1634001003,"Peritoneal dialysis clamps, each                                                Peritoneal dialysis clamp   0",Peritoneal dialysis clamp   00      9                  4270,09-09-2025
E1635001003,Compact (portable) travel hemodialyzer system                                   Compact travel hemodialyzer 0,Compact travel hemodialyzer 00      9,09-09-2025
E1636001003,"Sorbent cartridges, for hemodialysis, per 10                                    Sorbent cartridges per 10   0",Sorbent cartridges per 10   00      9,09-09-2025
E1637001003,"Hemostats, each                                                                 Hemostats for dialysis, each0","Hemostats for dialysis, each00      9",09-09-2025
E1639001003,"Scale, each                                                                     Scale, each                 0","Scale, each                 00      9",09-09-2025
E1699001003,"Dialysis equipment, not otherwise specified                                     Dialysis equipment noc      0",Dialysis equipment noc      00      9,09-09-2025
E1700001003,Jaw motion rehabilitation system                                                Jaw motion rehab system     3,Jaw motion rehab system     36      A,09-09-2025
E1701001003,"Replacement cushions for jaw motion rehabilitation system, pkg. of 6            Repl cushions for jaw motion3",Repl cushions for jaw motion34      A,09-09-2025
E1702001003,"Replacement measuring scales for jaw motion rehabilitation system, pkg. of 200  Repl measr scales jaw motion3",Repl measr scales jaw motion34      A,09-09-2025
E1800001003,"Dynamic adjustable elbow extension and flexion device, includes soft interface  Adjust elbow ext & flex dev 3",Adjust elbow ext & flex dev 36      A,09-09-2025
E1800002004,material,,09-09-2025
E1801001003,"Static progressive stretch/patient actualized serial stretch elbow device,      Sps/pass elbow device       3",Sps/pass elbow device       36      A,09-09-2025
E1801002004,"extension and/or flexion, with or without range of motion adjustment, includes",,09-09-2025
E1801003004,all components and accessories,,09-09-2025
E1802001003,"Dynamic adjustable forearm pronation/supination device, includes soft interface Adjst forearm pro/sup device3",Adjst forearm pro/sup device36      A,09-09-2025
E1802002004,material,,09-09-2025
E1803001003,"Dynamic adjustable elbow extension only device, includes soft interface materialAdjust elbow extension dev  3",lAdjust elbow extension dev  36      A,09-09-2025
E1804001003,"Dynamic adjustable elbow flexion only device, includes soft interface material  Adjust elbow flexion dev    3",Adjust elbow flexion dev    36      A,09-09-2025
E1805001003,"Dynamic adjustable wrist extension and flexion device, includes soft interface  Adjust wrist ext & flex dev 3",Adjust wrist ext & flex dev 36      A,09-09-2025
E1805002004,material,,09-09-2025
E1806001003,"Static progressive stretch wrist device, flexion and/or extension, with or      Sps wrist device            3",Sps wrist device            36      A,09-09-2025
E1806002004,"without range of motion adjustment, includes all components and accessories",,09-09-2025
E1807001003,"Dynamic adjustable wrist extension only device, includes soft interface materialAdjust wrist extension dev  3",lAdjust wrist extension dev  36      A,09-09-2025
E1808001003,"Dynamic adjustable wrist flexion only device, includes soft interface material  Adjust wrist flexion device 3",Adjust wrist flexion device 36      A,09-09-2025
E1810001003,"Dynamic adjustable knee extension and flexion device, includes soft interface   Adjust knee ext & flex dev  3",Adjust knee ext & flex dev  36      A,09-09-2025
E1810002004,material,,09-09-2025
E1811001003,"Static progressive stretch/patient actualized serial stretch knee device,       Sps/pass knee device        3",Sps/pass knee device        36      A,09-09-2025
E1811002004,"extension and/or flexion, with or without range of motion adjustment, includes",,09-09-2025
E1811003004,all components and accessories,,09-09-2025
E1812001003,"Dynamic knee, extension/flexion device with active resistance control           Knee ext/flex w act res ctrl3",Knee ext/flex w act res ctrl36      A,09-09-2025
E1813001003,"Dynamic adjustable knee extension only device, includes soft interface material Adjust knee extension device3",Adjust knee extension device36      A,09-09-2025
E1814001003,"Dynamic adjustable knee flexion only device, includes soft interface material   Adjust knee flexion device  3",Adjust knee flexion device  36      A,09-09-2025
E1815001003,"Dynamic adjustable ankle extension and flexion device, includes soft interface  Adjust ankle ext & flex dev 3",Adjust ankle ext & flex dev 36      A,09-09-2025
E1815002004,material,,09-09-2025
E1816001003,"Static progressive stretch/patient actualized serial stretch ankle device,      Sps/pass ankle device       3",Sps/pass ankle device       36      A,09-09-2025
E1816002004,"flexion and/or extension, with or without range of motion adjustment, includes",,09-09-2025
E1816003004,all components and accessories,,09-09-2025
E1818001003,Static progressive stretch/patient actualized serial stretch forearm pronation  Sps/pass forearm device     3,Sps/pass forearm device     36      A,09-09-2025
E1818002004,"/ supination device, with or without range of motion adjustment, includes all",,09-09-2025
E1818003004,components and accessories,,09-09-2025
E1820001003,"Replacement soft interface material, dynamic adjustable extension/flexion deviceSoft interface material     3",eSoft interface material     32      A,09-09-2025
E1821001003,Replacement soft interface material/cuffs for bi-directional static progressive Replacement interface spsd  3,Replacement interface spsd  32      A,09-09-2025
E1821002004,stretch device,,09-09-2025
E1822001003,"Dynamic adjustable ankle extension only device, includes soft interface materialAdjust ankle extension dev  3",lAdjust ankle extension dev  36      A,09-09-2025
E1823001003,"Dynamic adjustable ankle flexion only device, includes soft interface material  Adjust ankle flexion device 3",Adjust ankle flexion device 36      A,09-09-2025
E1825001003,"Dynamic adjustable finger extension and flexion device, includes soft interface Adjust finger ext & flex dev3",Adjust finger ext & flex dev36      A,09-09-2025
E1825002004,material,,09-09-2025
E1826001003,"Dynamic adjustable finger extension only device, includes soft interface        Adjust finger extension dev 3",Adjust finger extension dev 36      A,09-09-2025
E1826002004,material,,09-09-2025
E1827001003,"Dynamic adjustable finger flexion only device, includes soft interface material Adjust finger flexion device3",Adjust finger flexion device36      A,09-09-2025
E1828001003,"Dynamic adjustable toe extension only device, includes soft interface material  Adjust toe extension device 3",Adjust toe extension device 36      A,09-09-2025
E1829001003,"Dynamic adjustable toe flexion only device, includes soft interface material    Adjust toe flexion device   3",Adjust toe flexion device   36      A,09-09-2025
E1830001003,"Dynamic adjustable toe extension and flexion device, includes soft interface    Adjust toe ext & flex device3",Adjust toe ext & flex device36      A,09-09-2025
