Code,Description,Last Updated
1330016,Removable appliance therapy,09-12-2025
1331017,"Removable appliance therapy, NOS",09-12-2025
1332012,Subcutaneous tissue of medial surface of index finger,09-12-2025
1332012,Subcutaneous tissue of medial surface of index finger,09-12-2025
1333019,Rhipicephalus sanguineus,09-12-2025
1334013,Brown dog tick,09-12-2025
1334013,Brown dog tick,09-12-2025
1335014,Kennel tick,09-12-2025
1335014,Kennel tick,09-12-2025
1336010,Black buffalo weaver,09-12-2025
1336010,Black buffalo weaver,09-12-2025
1338011,Cystourethroscopy with resection of ureterocele,09-12-2025
1338011,Cystourethroscopy with resection of ureterocele,09-12-2025
1339015,Rubber moulding-press operator,09-12-2025
1339015,Rubber moulding-press operator,09-12-2025
1340018,Deep circumflex artery of ilium,09-12-2025
1340018,Deep circumflex artery of ilium,09-12-2025
1341019,Spine board,09-12-2025
1341019,Spine board,09-12-2025
1342014,AIDS with low vision,09-12-2025
1343016,Salmonella irumu,09-12-2025
1343016,Salmonella irumu,09-12-2025
1343016,Salmonella irumu,09-12-2025
1344010,Ferrocyanide salt,09-12-2025
1344010,Ferrocyanide salt,09-12-2025
1345011,"Ferrocyanide salt, NOS",09-12-2025
1347015,"Removal of foreign body of tendon or sheath, NOS",09-12-2025
1348013,Thermal injury,09-12-2025
1348013,Thermal injury,09-12-2025
1349017,"Thermal injury, NOS",09-12-2025
1350017,"Heat injury, NOS",09-12-2025
1351018,Heat injury,09-12-2025
1351018,Heat injury,09-12-2025
1352013,Severe manic bipolar I disorder without psychotic features,09-12-2025
1353015,"Severe bipolar I disorder, most recent episode manic, without psychotic features",09-12-2025
1354014,Severe manic bipolar disorder without psychotic features,09-12-2025
1355010,Bacteroides stercoris,09-12-2025
1356011,Phosphoenolpyruvate-protein phosphotransferase,09-12-2025
1356011,Phosphoenolpyruvate-protein phosphotransferase,09-12-2025
1357019,Enzyme I of the phosphotransferase system,09-12-2025
1357019,Enzyme I of the phosphotransferase system,09-12-2025
1358012,Accident-prone behavior,09-12-2025
1359016,Accident-prone,09-12-2025
1359016,Accident-prone,09-12-2025
1360014,Accident proneness,09-12-2025
1360014,Accident proneness,09-12-2025
1361013,Behavioral therapy,09-12-2025
1361013,Behavioral therapy,09-12-2025
1362018,Behavior conditioning therapy,09-12-2025
1362018,Behavior conditioning therapy,09-12-2025
1363011,Behavior modification,09-12-2025
1363011,Behavior modification,09-12-2025
1364017,Behavior modification psychotherapy,09-12-2025
1364017,Behavior modification psychotherapy,09-12-2025
1365016,Behaviour conditioning therapy,09-12-2025
1365016,Behaviour conditioning therapy,09-12-2025
1367012,Behaviour modification,09-12-2025
1367012,Behaviour modification,09-12-2025
1368019,Behaviour modification psychotherapy,09-12-2025
1368019,Behaviour modification psychotherapy,09-12-2025
1369010,Supraclavicular part of brachial plexus,09-12-2025
1369010,Supraclavicular part of brachial plexus,09-12-2025
1370011,Typhlolithiasis,09-12-2025
1370011,Typhlolithiasis,09-12-2025
1371010,Hypothalamic releasing factor preparation,09-12-2025
1371010,Hypothalamic releasing factor preparation,09-12-2025
1371010,Hypothalamic releasing factor preparation,09-12-2025
1372015,"Special potency disk identification, vancomycin test",09-12-2025
1372015,"Special potency disk identification, vancomycin test",09-12-2025
1373013,Injury of ascending right colon without open wound into abdominal cavity,09-12-2025
1373013,Injury of ascending right colon without open wound into abdominal cavity,09-12-2025
1374019,Endometritis following molar AND/OR ectopic pregnancy,09-12-2025
1375018,Endometritis following molar or ectopic pregnancy,09-12-2025
1376017,Micrognathus crinitus,09-12-2025
1376017,Micrognathus crinitus,09-12-2025
1377014,Banded pipefish,09-12-2025
1377014,Banded pipefish,09-12-2025
1378016,Harrison-Richardson operation on vagina,09-12-2025
1379012,Supraorbital neuralgia,09-12-2025
1379012,Supraorbital neuralgia,09-12-2025
1380010,Anastomosis of rectum,09-12-2025
1380010,Anastomosis of rectum,09-12-2025
1381014,"Anastomosis of rectum, NOS",09-12-2025
1382019,Rectorectostomy,09-12-2025
1382019,Rectorectostomy,09-12-2025
1383012,Poisoning by sawfly larvae,09-12-2025
1383012,Poisoning by sawfly larvae,09-12-2025
1384018,Sawfly larvae toxicity,09-12-2025
1384018,Sawfly larvae toxicity,09-12-2025
1385017,Uridine diphosphate galactose,09-12-2025
1385017,Uridine diphosphate galactose,09-12-2025
1386016,Apraxia of dressing,09-12-2025
1386016,Apraxia of dressing,09-12-2025
1387013,Fijivirus,09-12-2025
1387013,Fijivirus,09-12-2025
1388015,"Fijivirus, NOS",09-12-2025
1389011,Plant reovirus subgroup 2,09-12-2025
1389011,Plant reovirus subgroup 2,09-12-2025
1390019,Hemorrhagic bronchopneumonia,09-12-2025
1390019,Hemorrhagic bronchopneumonia,09-12-2025
1392010,Canalization,09-12-2025
1392010,Canalization,09-12-2025
1393017,"Canalization, NOS",09-12-2025
1394011,Autoimmune pancytopenia,09-12-2025
1394011,Autoimmune pancytopenia,09-12-2025
1395012,Withdrawal arrhythmia,09-12-2025
1395012,Withdrawal arrhythmia,09-12-2025
1396013,Retired procedure,09-12-2025
1396013,Retired procedure,09-12-2025
1397016,HLA-Cw9 antigen,09-12-2025
1398014,Cyanocobalamin Co^57^,09-12-2025
1398014,Cyanocobalamin Co^57^,09-12-2025
1399018,Injury of intercostal artery,09-12-2025
1399018,Injury of intercostal artery,09-12-2025
1400013,Excision of lesion of artery,09-12-2025
1400013,Excision of lesion of artery,09-12-2025
1401012,"Excision of lesion of artery, NOS",09-12-2025
1402017,Partial or subtotal hysterectomy,09-12-2025
1403010,Subtotal abdominal hysterectomy,09-12-2025
1404016,Bell-Beuttner operation for subtotal abdominal hysterectomy,09-12-2025
1405015,Uterine fundectomy,09-12-2025
1406019,Supracervical hysterectomy without removal of tube or ovary,09-12-2025
1407011,Lednice virus,09-12-2025
1408018,Congenital syphilitic hepatomegaly,09-12-2025
1408018,Congenital syphilitic hepatomegaly,09-12-2025
1409014,Benign hypertensive renal disease,09-12-2025
1409014,Benign hypertensive renal disease,09-12-2025
1410016,Notropis whipplei,09-12-2025
1411017,Steelcolor shiner,09-12-2025
1412012,Illegal abortion with endometritis,09-12-2025
1412012,Illegal abortion with endometritis,09-12-2025
1413019,Concave shape,09-12-2025
1413019,Concave shape,09-12-2025
1414013,Mold to yeast conversion test,09-12-2025
1414013,Mold to yeast conversion test,09-12-2025
1415014,Disease due to Filovirus,09-12-2025
1415014,Disease due to Filovirus,09-12-2025
1416010,"Disease due to Filovirus, NOS",09-12-2025
1417018,Decreased lactation,09-12-2025
1417018,Decreased lactation,09-12-2025
1418011,Hypogalactia,09-12-2025
1418011,Hypogalactia,09-12-2025
1419015,Hypolactation,09-12-2025
1419015,Hypolactation,09-12-2025
1420014,Berberine,09-12-2025
1420014,Berberine,09-12-2025
1421013,Oligopus claudei,09-12-2025
1422018,Reef-cave brotula,09-12-2025
1423011,Anterior division of renal artery,09-12-2025
1423011,Anterior division of renal artery,09-12-2025
1424017,Replacement of pacemaker in brain,09-12-2025
1424017,Replacement of pacemaker in brain,09-12-2025
1425016,Removal of neurostimulator of brain with synchronous replacement,09-12-2025
1425016,Removal of neurostimulator of brain with synchronous replacement,09-12-2025
1426015,Removal of intracranial neurostimulator with synchronous replacement,09-12-2025
1426015,Removal of intracranial neurostimulator with synchronous replacement,09-12-2025
1427012,Removal of stimoceiver with synchronous replacement,09-12-2025
1427012,Removal of stimoceiver with synchronous replacement,09-12-2025
1428019,Replacement of intracranial pacemaker,09-12-2025
1428019,Replacement of intracranial pacemaker,09-12-2025
1429010,Replacement of neural brain pacemaker,09-12-2025
1429010,Replacement of neural brain pacemaker,09-12-2025
1430017,Removal of pacemaker of brain with synchronous replacement,09-12-2025
1430017,Removal of pacemaker of brain with synchronous replacement,09-12-2025
1431018,Removal of intracranial pacemaker with synchronous replacement,09-12-2025
1431018,Removal of intracranial pacemaker with synchronous replacement,09-12-2025
1432013,Removal of electronic stimulator of brain with synchronous replacement,09-12-2025
1432013,Removal of electronic stimulator of brain with synchronous replacement,09-12-2025
1433015,Removal of intracranial electronic stimulator with synchronous replacement,09-12-2025
1433015,Removal of intracranial electronic stimulator with synchronous replacement,09-12-2025
1434014,Removal of neuropacemaker of brain with synchronous replacement,09-12-2025
1434014,Removal of neuropacemaker of brain with synchronous replacement,09-12-2025
1435010,Removal of intracranial neuropacemaker with synchronous replacement,09-12-2025
1435010,Removal of intracranial neuropacemaker with synchronous replacement,09-12-2025
1436011,Retired procedure,09-12-2025
1436011,Retired procedure,09-12-2025
1438012,Left commissure of aortic valve,09-12-2025
1438012,Left commissure of aortic valve,09-12-2025
1439016,Gluteus maximus muscle,09-12-2025
1439016,Gluteus maximus muscle,09-12-2025
1440019,European edible frog,09-12-2025
1441015,Neurocutaneous melanosis sequence,09-12-2025
1441015,Neurocutaneous melanosis sequence,09-12-2025
1442010,Plover,09-12-2025
1442010,Plover,09-12-2025
1443017,"Plover, NOS",09-12-2025
1444011,Arrow,09-12-2025
1444011,Arrow,09-12-2025
1445012,"Arrow, NOS",09-12-2025
1446013,Norethandrolone preparation,09-12-2025
1446013,Norethandrolone preparation,09-12-2025
1446013,Norethandrolone preparation,09-12-2025
1447016,Salmonella III arizonae 53:k:z,09-12-2025
1447016,Salmonella III arizonae 53:k:z,09-12-2025
1448014,Simian enterovirus 7,09-12-2025
1448014,Simian enterovirus 7,09-12-2025
1449018,Streptococcus mutans,09-12-2025
1449018,Streptococcus mutans,09-12-2025
1450018,Operative procedure on fingers,09-12-2025
1450018,Operative procedure on fingers,09-12-2025
1451019,"Operative procedure on fingers, NOS",09-12-2025
1452014,Delusion of persecution,09-12-2025
1452014,Delusion of persecution,09-12-2025
1453016,Paranoid delusion,09-12-2025
1453016,Paranoid delusion,09-12-2025
1454010,Paranoid reaction,09-12-2025
1454010,Paranoid reaction,09-12-2025
1455011,Blood group antigen IH,09-12-2025
1456012,Blood group antigen HI,09-12-2025
1457015,Blood group antigen IO,09-12-2025
1458013,Ophidion holbrooki,09-12-2025
1459017,Bank cusk-eel,09-12-2025
1459017,Bank cusk-eel,09-12-2025
1460010,Alcoholic beverage drinker,09-12-2025
1461014,"Alcoholic beverage drinker, NOS",09-12-2025
1462019,Alcohol user,09-12-2025
1462019,Alcohol user,09-12-2025
1463012,Monoarthritis,09-12-2025
1463012,Monoarthritis,09-12-2025
1464018,Unspecified monoarthritis,09-12-2025
1464018,Unspecified monoarthritis,09-12-2025
1465017,"Monoarthritis, NOS",09-12-2025
1466016,"Articular surface, phalanges, of fourth metacarpal bone",09-12-2025
1466016,"Articular surface, phalanges, of fourth metacarpal bone",09-12-2025
1467013,Acute epiglottitis with obstruction,09-12-2025
1467013,Acute epiglottitis with obstruction,09-12-2025
1468015,Tumor of body of uterus affecting pregnancy,09-12-2025
1468015,Tumor of body of uterus affecting pregnancy,09-12-2025
1469011,Tumour of body of uterus affecting pregnancy,09-12-2025
1469011,Tumour of body of uterus affecting pregnancy,09-12-2025
1471011,Special care of patient with contagious disease,09-12-2025
1471011,Special care of patient with contagious disease,09-12-2025
1472016,Aedes luteocephalus,09-12-2025
1473014,Canal of Hering,09-12-2025
1474015,Lucio phenomenon,09-12-2025
1475019,Accipiter gentilis,09-12-2025
1476018,Goshawk,09-12-2025
1476018,Goshawk,09-12-2025
1477010,"Miller operation, urethrovesical suspension",09-12-2025
1478017,3-Hydroxyisobutyrate dehydrogenase,09-12-2025
1478017,3-Hydroxyisobutyrate dehydrogenase,09-12-2025
1479013,Congenital fold,09-12-2025
1479013,Congenital fold,09-12-2025
1480011,"Congenital fold, NOS",09-12-2025
1481010,Hepatocolic ligament,09-12-2025
1481010,Hepatocolic ligament,09-12-2025
1482015,Cyrnea colini,09-12-2025
1483013,Superior labial artery,09-12-2025
1483013,Superior labial artery,09-12-2025
1484019,Incision of vein,09-12-2025
1484019,Incision of vein,09-12-2025
1485018,"Incision of vein, NOS",09-12-2025
1486017,"Phlebotomy, NOS",09-12-2025
1487014,"Venotomy, NOS",09-12-2025
1488016,"Venesection, NOS",09-12-2025
1490015,Venotomy,09-12-2025
1491016,Venesection,09-12-2025
1492011,Annona,09-12-2025
1493018,"Annona, NOS",09-12-2025
1494012,Heptachlor,09-12-2025
1494012,Heptachlor,09-12-2025
1495013,Ophthalmologic,09-12-2025
1495013,Ophthalmologic,09-12-2025
1496014,Biopsy of scent gland,09-12-2025
1496014,Biopsy of scent gland,09-12-2025
1497017,Epilepsia partialis continua,09-12-2025
1497017,Epilepsia partialis continua,09-12-2025
1498010,Kojevnikov's epilepsy,09-12-2025
1498010,Kojevnikov's epilepsy,09-12-2025
1499019,Noninfectious jejunitis,09-12-2025
1499019,Noninfectious jejunitis,09-12-2025
1500011,"Noninfectious jejunitis, NOS",09-12-2025
1501010,Replacement of cerebral ventricular tube,09-12-2025
1501010,Replacement of cerebral ventricular tube,09-12-2025
1502015,Evans and Lloyd-Thomas syndrome,09-12-2025
1502015,Evans and Lloyd-Thomas syndrome,09-12-2025
1503013,Suspended heart syndrome,09-12-2025
1504019,Division of nerve ganglion,09-12-2025
1504019,Division of nerve ganglion,09-12-2025
1505018,"Division of nerve ganglion, NOS",09-12-2025
1506017,Lateral vestibular nucleus,09-12-2025
1506017,Lateral vestibular nucleus,09-12-2025
1507014,Mesotympanum,09-12-2025
1507014,Mesotympanum,09-12-2025
1508016,Infectious bursal disease virus,09-12-2025
1508016,Infectious bursal disease virus,09-12-2025
1509012,Gumboro disease virus,09-12-2025
1510019,Ryania,09-12-2025
1510019,Ryania,09-12-2025
1511015,"Ryania, NOS",09-12-2025
1513017,Pectoral region,09-12-2025
1513017,Pectoral region,09-12-2025
1514011,Acinetobacter johnsonii,09-12-2025
1515012,Sycosis,09-12-2025
1515012,Sycosis,09-12-2025
1516013,"Sycosis, NOS",09-12-2025
1517016,Insect iridescent virus 11,09-12-2025
1517016,Insect iridescent virus 11,09-12-2025
1518014,Calcified nodule,09-12-2025
1518014,Calcified nodule,09-12-2025
1519018,Kupffer cell,09-12-2025
1520012,"Acne rosacea, erythematous telangiectatic type",09-12-2025
1520012,"Acne rosacea, erythematous telangiectatic type",09-12-2025
1521011,Pseudoknuckle pad,09-12-2025
1521011,Pseudoknuckle pad,09-12-2025
1522016,Fibrous body,09-12-2025
1522016,Fibrous body,09-12-2025
1523014,Melon seed body,09-12-2025
1523014,Melon seed body,09-12-2025
1524015,Indigo bunting,09-12-2025
1524015,Indigo bunting,09-12-2025
1525019,Codeine phosphate,09-12-2025
1525019,Codeine phosphate,09-12-2025
1526018,Percutaneous aspiration of renal pelvis,09-12-2025
1526018,Percutaneous aspiration of renal pelvis,09-12-2025
1528017,"Thoracic nerves, NOS",09-12-2025
1529013,Blind hypertensive eye,09-12-2025
1529013,Blind hypertensive eye,09-12-2025
1530015,Retired procedure,09-12-2025
1530015,Retired procedure,09-12-2025
1532011,Right lower lobe of lung,09-12-2025
1532011,Right lower lobe of lung,09-12-2025
1533018,"Right lower lobe of lung, NOS",09-12-2025
1534012,"Anal fistulectomy, multiple",09-12-2025
1534012,"Anal fistulectomy, multiple",09-12-2025
1535013,Lycosa tarentula,09-12-2025
1536014,European tarantula,09-12-2025
1537017,European wolf spider,09-12-2025
1538010,Theileria sergenti,09-12-2025
1539019,Female first cousin,09-12-2025
1539019,Female first cousin,09-12-2025
1540017,Bone plate,09-12-2025
1540017,Bone plate,09-12-2025
1541018,Plate,09-12-2025
1541018,Plate,09-12-2025
1542013,Superior articular process of lumbar vertebra,09-12-2025
1542013,Superior articular process of lumbar vertebra,09-12-2025
1543015,"Superior articular process of lumbar vertebra, NOS",09-12-2025
1544014,"Cranial articular process of lumbar vertebra, NOS",09-12-2025
1545010,Cranial articular process of lumbar vertebra,09-12-2025
1545010,Cranial articular process of lumbar vertebra,09-12-2025
1546011,Lateral myocardium,09-12-2025
1546011,Lateral myocardium,09-12-2025
1548012,Crushing injury of ankle and foot excluding toes,09-12-2025
1549016,Noturus placidus,09-12-2025
1550016,Neosho madtom,09-12-2025
1551017,Poisoning by oxytocin,09-12-2025
1551017,Poisoning by oxytocin,09-12-2025
1552012,Antbird,09-12-2025
1553019,"Antbird, NOS",09-12-2025
1554013,"Epidural injection of neurolytic substance, lumbar",09-12-2025
1554013,"Epidural injection of neurolytic substance, lumbar",09-12-2025
1554013,"Epidural injection of neurolytic substance, lumbar",09-12-2025
1555014,Senile myocarditis,09-12-2025
1555014,Senile myocarditis,09-12-2025
1556010,Salmonella limete,09-12-2025
1556010,Salmonella limete,09-12-2025
1556010,Salmonella limete,09-12-2025
1557018,Dementia associated with alcoholism,09-12-2025
1557018,Dementia associated with alcoholism,09-12-2025
1558011,Alcohol-induced persisting dementia,09-12-2025
1558011,Alcohol-induced persisting dementia,09-12-2025
1559015,Acute myocardial infarction of basal-lateral wall,09-12-2025
1559015,Acute myocardial infarction of basal-lateral wall,09-12-2025
1560013,Central axillary lymph node,09-12-2025
1560013,Central axillary lymph node,09-12-2025
1561012,Flexor tendon and tendon sheath of fourth toe,09-12-2025
1561012,Flexor tendon and tendon sheath of fourth toe,09-12-2025
1562017,Incision and drainage of vulva,09-12-2025
1562017,Incision and drainage of vulva,09-12-2025
1563010,Czechs,09-12-2025
1563010,Czechs,09-12-2025
1564016,Air receiver,09-12-2025
1564016,Air receiver,09-12-2025
1565015,Cognition,09-12-2025
1566019,"Cognition, NOS",09-12-2025
1567011,Metacarpophalangeal joint of index finger,09-12-2025
1567011,Metacarpophalangeal joint of index finger,09-12-2025
1568018,Melnick-Fraser syndrome,09-12-2025
1569014,Branchio-oto-renal syndrome,09-12-2025
1569014,Branchio-oto-renal syndrome,09-12-2025
1570010,BOR syndrome,09-12-2025
1571014,Atomizer,09-12-2025
1571014,Atomizer,09-12-2025
1572019,"Atomizer, NOS",09-12-2025
1573012,EEG finding,09-12-2025
1574018,"EEG finding, NOS",09-12-2025
1575017,Satellite,09-12-2025
1575017,Satellite,09-12-2025
1576016,Daughter,09-12-2025
1577013,Excisional biopsy of joint structure of spine,09-12-2025
1577013,Excisional biopsy of joint structure of spine,09-12-2025
1578015,Nonexcisional destruction of cyst of ciliary body,09-12-2025
1578015,Nonexcisional destruction of cyst of ciliary body,09-12-2025
1579011,Coumachlor,09-12-2025
1580014,Acute myringitis,09-12-2025
1580014,Acute myringitis,09-12-2025
1581013,"Acute myringitis, NOS",09-12-2025
1582018,"Acute tympanitis, NOS",09-12-2025
1583011,Acute tympanitis,09-12-2025
1583011,Acute tympanitis,09-12-2025
1584017,Repair of ectropion by blepharoplasty,09-12-2025
1584017,Repair of ectropion by blepharoplasty,09-12-2025
1585016,Repair of ectropion with lid reconstruction,09-12-2025
1586015,V-Y operation for ectropion,09-12-2025
1587012,Kuhnt-Szymanowski operation,09-12-2025
1588019,Paraffinoma of skin,09-12-2025
1588019,Paraffinoma of skin,09-12-2025
1589010,"Paraffinoma of skin, NOS",09-12-2025
1590018,Lipid granuloma of skin caused by mineral oil,09-12-2025
1590018,Lipid granuloma of skin caused by mineral oil,09-12-2025
1590018,Lipid granuloma of skin caused by mineral oil,09-12-2025
1591019,Miniature schnauzer,09-12-2025
1591019,Miniature schnauzer,09-12-2025
1592014,Fifth metatarsal bone,09-12-2025
1592014,Fifth metatarsal bone,09-12-2025
1593016,"Fifth metatarsal bone, NOS",09-12-2025
1594010,Spiramycin,09-12-2025
1594010,Spiramycin,09-12-2025
1594010,Spiramycin,09-12-2025
1595011,Apoplectic pancreatitis,09-12-2025
1595011,Apoplectic pancreatitis,09-12-2025
1597015,Malaclemys,09-12-2025
1598013,"Malaclemys, NOS",09-12-2025
1599017,Diamondback terrapin,09-12-2025
1599017,Diamondback terrapin,09-12-2025
1600019,Echography of kidney,09-12-2025
1600019,Echography of kidney,09-12-2025
1601015,"Echography of kidney, NOS",09-12-2025
1602010,"Ultrasound of kidney, NOS",09-12-2025
1603017,Ultrasound of kidney,09-12-2025
1603017,Ultrasound of kidney,09-12-2025
1604011,Retired procedure,09-12-2025
1604011,Retired procedure,09-12-2025
1605012,Pearly penile papules,09-12-2025
1605012,Pearly penile papules,09-12-2025
1606013,Penile papules,09-12-2025
1606013,Penile papules,09-12-2025
1607016,Pasteurella multocida bacterin,09-12-2025
1607016,Pasteurella multocida bacterin,09-12-2025
1607016,Pasteurella multocida bacterin,09-12-2025
1607016,Pasteurella multocida bacterin,09-12-2025
1608014,Boil of penis,09-12-2025
1608014,Boil of penis,09-12-2025
1609018,Plantar surface of great toe,09-12-2025
1609018,Plantar surface of great toe,09-12-2025
1610011,Salmonella amba,09-12-2025
1610011,Salmonella amba,09-12-2025
1611010,Déjà vu,09-12-2025
1611010,Déjà vu,09-12-2025
1612015,Deja vu,09-12-2025
1613013,Eimeria lagopodi,09-12-2025
1614019,Skin of umbilicus,09-12-2025
1614019,Skin of umbilicus,09-12-2025
1615018,Partial dacryocystectomy,09-12-2025
1615018,Partial dacryocystectomy,09-12-2025
1616017,Reactive hypoglycemia,09-12-2025
1616017,Reactive hypoglycemia,09-12-2025
1617014,Hypoglycemic reaction,09-12-2025
1617014,Hypoglycemic reaction,09-12-2025
1618016,Hypoglycaemic reaction,09-12-2025
1618016,Hypoglycaemic reaction,09-12-2025
1619012,Cardiac impression of liver,09-12-2025
1619012,Cardiac impression of liver,09-12-2025
1620018,Hysteroscopy,09-12-2025
1620018,Hysteroscopy,09-12-2025
1621019,"Hysteroscopy, NOS",09-12-2025
1622014,Endoscopy of uterus,09-12-2025
1623016,Endoscopic examination of uterus,09-12-2025
1624010,"Cervical dilatation, 1cm",09-12-2025
1624010,"Cervical dilatation, 1cm",09-12-2025
1625011,Retired procedure,09-12-2025
1625011,Retired procedure,09-12-2025
1626012,Octylphenoxy P.H. ethanol,09-12-2025
1628013,Plaster ulcer,09-12-2025
1628013,Plaster ulcer,09-12-2025
1629017,Eimeria bovis,09-12-2025
1630010,Aerodrome construction engineer,09-12-2025
1630010,Aerodrome construction engineer,09-12-2025
1631014,^76^Arsenic,09-12-2025
1631014,^76^Arsenic,09-12-2025
1632019,Follicular papule,09-12-2025
1632019,Follicular papule,09-12-2025
1633012,^127^Antimony,09-12-2025
1633012,^127^Antimony,09-12-2025
1634018,Occipital headache,09-12-2025
1634018,Occipital headache,09-12-2025
1635017,Hospital-based outpatient rheumatology clinic,09-12-2025
1635017,Hospital-based outpatient rheumatology clinic,09-12-2025
1636016,Sphyrna lewini,09-12-2025
1637013,Scalloped hammerhead,09-12-2025
1637013,Scalloped hammerhead,09-12-2025
1638015,Frenoplasty,09-12-2025
1638015,Frenoplasty,09-12-2025
1639011,Lingual frenoplasty,09-12-2025
1639011,Lingual frenoplasty,09-12-2025
1640013,Panorex examination of mandible,09-12-2025
1641012,Pylorospasm,09-12-2025
1641012,Pylorospasm,09-12-2025
1642017,Fibrinogen Tokyo II,09-12-2025
1643010,Bear,09-12-2025
1643010,Bear,09-12-2025
1644016,"Bear, NOS",09-12-2025
1645015,Black-headed oriole,09-12-2025
1645015,Black-headed oriole,09-12-2025
1646019,Blister,09-12-2025
1646019,Blister,09-12-2025
1647011,Bulla,09-12-2025
1647011,Bulla,09-12-2025
1648018,"Blister, NOS",09-12-2025
1649014,Bleb,09-12-2025
1649014,Bleb,09-12-2025
1650014,Blisters,09-12-2025
1650014,Blisters,09-12-2025
1651013,Blistering,09-12-2025
1651013,Blistering,09-12-2025
1652018,Enzyme variant,09-12-2025
1652018,Enzyme variant,09-12-2025
1653011,"Enzyme variant, NOS",09-12-2025
1654017,ABO incompatibility reaction,09-12-2025
1655016,Reaction to blood group incompatibility in transfusion,09-12-2025
1655016,Reaction to blood group incompatibility in transfusion,09-12-2025
1655016,Reaction to blood group incompatibility in transfusion,09-12-2025
1656015,Incompatible blood transfusion,09-12-2025
1656015,Incompatible blood transfusion,09-12-2025
1656015,Incompatible blood transfusion,09-12-2025
1657012,Amobarbital interview,09-12-2025
1657012,Amobarbital interview,09-12-2025
1659010,Ankle,09-12-2025
1659010,Ankle,09-12-2025
1660017,"Ankle, NOS",09-12-2025
1661018,Tarsus,09-12-2025
1662013,"Hock, NOS",09-12-2025
1663015,Hock,09-12-2025
1663015,Hock,09-12-2025
1665010,Atrioventricular bundle,09-12-2025
1665010,Atrioventricular bundle,09-12-2025
1666011,"Atrioventricular bundle, NOS",09-12-2025
1667019,Bundle of His,09-12-2025
1668012,"Periodontal scaling and root planing, per quadrant",09-12-2025
1668012,"Periodontal scaling and root planing, per quadrant",09-12-2025
1669016,Rufous tinamou,09-12-2025
1669016,Rufous tinamou,09-12-2025
1670015,Radionuclide dynamic function study,09-12-2025
1670015,Radionuclide dynamic function study,09-12-2025
1671016,"Radionuclide dynamic function study, NOS",09-12-2025
1672011,"Dynamic scanning study, NOS",09-12-2025
1673018,Dynamic scanning study,09-12-2025
1673018,Dynamic scanning study,09-12-2025
1674012,Absent tendon reflex,09-12-2025
1674012,Absent tendon reflex,09-12-2025
1675013,Percina crassa,09-12-2025
1676014,Piedmont darter,09-12-2025
1676014,Piedmont darter,09-12-2025
1677017,Urinary undiversion of ureteral anastomosis,09-12-2025
1677017,Urinary undiversion of ureteral anastomosis,09-12-2025
1678010,Take-down of ureteral anastomosis,09-12-2025
1678010,Take-down of ureteral anastomosis,09-12-2025
1679019,"Reagent RBC, preparation antibody sensitized pool",09-12-2025
1680016,IV/irrigation monitoring,09-12-2025
1681017,"Triton tumor, malignant",09-12-2025
1682012,Malignant Schwannoma with rhabdomyoblastic differentiation,09-12-2025
1683019,Hemorrhagic shock,09-12-2025
1683019,Hemorrhagic shock,09-12-2025
1685014,Reticular corium,09-12-2025
1685014,Reticular corium,09-12-2025
1686010,Closed fracture of trapezoidal bone of wrist,09-12-2025
1686010,Closed fracture of trapezoidal bone of wrist,09-12-2025
1687018,Closed fracture of small multangular bone of wrist,09-12-2025
1687018,Closed fracture of small multangular bone of wrist,09-12-2025
1688011,Poisoning by smallpox vaccine,09-12-2025
1688011,Poisoning by smallpox vaccine,09-12-2025
1689015,Kernicterus due to isoimmunization,09-12-2025
1689015,Kernicterus due to isoimmunization,09-12-2025
1690012,Acute radiation disease,09-12-2025
1690012,Acute radiation disease,09-12-2025
1691011,Bacillus larvae,09-12-2025
1691011,Bacillus larvae,09-12-2025
1692016,Arthroderma quadrifidum,09-12-2025
1692016,Arthroderma quadrifidum,09-12-2025
1693014,Fibrinogen San Juan,09-12-2025
1694015,Acute left-sided heart failure,09-12-2025
1694015,Acute left-sided heart failure,09-12-2025
1695019,Circaseptan biorhythm,09-12-2025
1695019,Circaseptan biorhythm,09-12-2025
1696018,"Circaseptan biorhythm, NOS",09-12-2025
1697010,"Weekly biorhythm, NOS",09-12-2025
1698017,Weekly biorhythm,09-12-2025
1698017,Weekly biorhythm,09-12-2025
1699013,Hidromeiosis,09-12-2025
1699013,Hidromeiosis,09-12-2025
1700014,Clubbing,09-12-2025
1700014,Clubbing,09-12-2025
1701013,Heart valve disorder,09-12-2025
1701013,Heart valve disorder,09-12-2025
1702018,"Heart valve disorder, NOS",09-12-2025
1703011,"Valvular heart disease, NOS",09-12-2025
1704017,"Heart valve disease, NOS",09-12-2025
1705016,Valvular heart disease,09-12-2025
1705016,Valvular heart disease,09-12-2025
1706015,Heart valve disease,09-12-2025
1706015,Heart valve disease,09-12-2025
1707012,Normal jugular venous pressure,09-12-2025
1707012,Normal jugular venous pressure,09-12-2025
1708019,beta>2S< Glycoprotein,09-12-2025
1708019,beta>2S< Glycoprotein,09-12-2025
1709010,Acylcarnitine hydrolase,09-12-2025
1709010,Acylcarnitine hydrolase,09-12-2025
1710017,Trichophyton rubrum,09-12-2025
1711018,Trichophyton purpureum,09-12-2025
1712013,Dorsal border of seventeenth rib,09-12-2025
1712013,Dorsal border of seventeenth rib,09-12-2025
1713015,Dorsal surface of seventeenth rib,09-12-2025
